CustomerID,Recency,Frequency,Monetary,AvgBasket,AvgDiscount,ReturnRate,CouponRate,PurchaseVelocity,EngagementScore,ChurnProbability,ChurnRisk,CLV_Predicted,CLV_Percentile,HealthScore,HealthGrade,IsAnomaly,AnomalyScore,R_Score,F_Score,M_Score,RFM_Score,Business_Segment,Segment_ENSEMBLE,Segment_KMEANS,LastCountry,PrimaryDevice
1000,20,21,31054.99578,1478.809322857143,0.024761904761904763,0.14285714285714285,0.0,0.9012875536480687,1.2476190476190476,0.2624542169999101,Low,105331.80758088056,Platinum,70.3492771060178,B,0,-0.057268602394430934,4,5,5,14,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1001,5,23,31016.5814,1348.5470173913043,0.023043478260869565,0.0,0.0,0.9871244635193133,4.278260869565218,0.023522881534806018,Low,108402.90889745441,Platinum,74.52196020753233,B,0,-0.0758403588455161,5,5,5,15,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1002,25,32,40179.209279999995,1255.6002899999999,0.02875,0.09375,0.0,1.4479638009049773,1.1,0.26696370564427996,Low,158741.01309813332,Platinum,76.94036036961516,B,0,-0.026575598734243422,4,5,5,14,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1003,25,31,40773.19386,1315.2643180645161,0.02032258064516129,0.06451612903225806,0.0,1.3963963963963963,1.0425806451612905,0.2567778941768862,Low,165669.96564167296,Platinum,77.23676639016934,B,0,-0.032126237782678646,4,5,5,14,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1004,9,17,24559.8294,1444.6958470588233,0.027647058823529413,0.0,0.0,0.7073509015256587,3.1633986928104574,0.06291252627967582,Low,81070.83745941072,Platinum,72.01097371383123,B,0,-0.09620213515595255,5,4,5,14,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1005,6,33,48830.95328,1479.725856969697,0.025454545454545452,0.06060606060606061,0.0,1.375,3.8181818181818183,0.05190588857226711,Low,188129.68379652064,Platinum,84.39275226080593,B,0,-0.027680638515117262,5,5,5,15,Champions,Discount Hunters,Discount Hunters,Germany,Mobile
1006,6,39,52388.19748,1343.287114871795,0.021538461538461538,0.05128205128205128,0.0,1.6810344827586208,4.102564102564103,0.0473930680594466,Low,212256.76033685612,Platinum,87.5708926654887,A,1,0.03290360068268228,5,5,5,15,Champions,Discount Hunters,Discount Hunters,France,Desktop
1007,6,30,37698.86218,1256.6287393333332,0.028333333333333332,0.06666666666666667,0.0,1.2465373961218837,3.466666666666667,0.06211667828907618,Low,148425.95615108733,Platinum,78.21372937629855,B,0,-0.050582700880038634,5,5,5,15,Champions,Discount Hunters,Discount Hunters,France,Desktop
1008,3,26,26533.399719999998,1020.5153738461538,0.02769230769230769,0.19230769230769232,0.0,1.1470588235294117,7.794871794871795,0.0939359032928364,Low,98990.54340807056,Platinum,71.19190016986441,B,0,-0.02708729443463842,5,5,5,15,Champions,Discount Hunters,Discount Hunters,UK,Mobile
1009,16,37,40039.79288,1082.1565643243243,0.024054054054054055,0.08108108108108109,0.0,1.5611814345991561,1.472972972972973,0.21233291835506918,Low,162978.0100508986,Platinum,78.5865764066803,B,0,-0.02257180698361194,5,5,5,15,Champions,Discount Hunters,Discount Hunters,France,Mobile
